time-sec,depth-m,ODBA
1,10.91105227,0.03102
2,10.92674316,0.03298825
3,10.9953908,0.0318075
4,11.10326567,0.031421
5,11.16799059,0.07184425
6,11.17975875,0.043995
7,11.13268608,0.04662
8,11.03657939,0.04582525
9,10.90712955,0.04744725
10,10.79533196,0.05021175
11,10.73060704,0.03961
12,10.71099343,0.0418705
13,10.72864568,0.04134875
14,10.81886829,0.056513
15,10.97381583,0.06177575
16,11.13464745,0.060161
17,11.26017456,0.077184
18,11.37785623,0.0658825
19,11.46807885,0.040086
20,11.5210356,0.065226
21,11.54261057,0.04731575
22,11.55437874,0.0470345
23,11.62106502,0.0879825
24,11.7230558,0.06716725
25,11.88584878,0.05031425
26,12.14474846,0.050099
27,12.47033441,0.04467275
28,12.75277042,0.03925075
29,12.93909974,0.0431335
30,13.01755418,0.03613125
31,12.98224968,0.0551005
32,12.90771796,0.0683085
33,12.79984309,0.0358475
34,12.71746592,0.0479625
35,12.64685692,0.03232575
36,12.60959106,0.03473075
37,12.59586153,0.04978625
38,12.62724331,0.044258
39,12.72335,0.032259
40,12.89987251,0.036112
41,13.08620182,0.03438675
42,13.24311072,0.028667
43,13.35883103,0.032929
44,13.37256056,0.02850525
45,13.31371972,0.040875
46,13.2038835,0.04777325
47,12.99597921,0.05904075
48,12.72138864,0.04559575
49,12.47229577,0.0576115
50,12.21143474,0.0458325
51,11.9858782,0.047431
52,11.85838972,0.05463975
53,11.82700794,0.0257875
54,11.8799647,0.04698875
55,12.05256448,0.054533
56,12.30754143,0.039427
57,12.65470236,0.03435925
58,13.05089732,0.0298955
59,13.42355595,0.04475075
60,13.69226243,0.04697775
61,13.82955771,0.0457615
62,13.75306463,0.03117175
63,13.50397176,0.0303125
64,13.11954496,0.0541975
65,12.69196823,0.0521385
66,12.33892321,0.0677885
67,12.2232029,0.05442225
68,12.38795724,0.0610165
69,12.87241345,0.026924
70,13.71579876,0.04753525
71,14.835736,0.05881425
72,16.0890458,0.069255
73,17.32078062,0.1021635
74,18.4387565,0.05213725
75,19.29587133,0.06996725
76,19.88820241,0.037444
77,20.24909287,0.02563675
78,20.38442679,0.044319
79,20.35108365,0.0420235
80,20.21378837,0.06708775
81,20.06276356,0.05910675
82,19.99019319,0.038224
83,20.07649309,0.0442605
84,20.32950868,0.05521375
85,20.73158772,0.05222625
86,21.1925076,0.02667525
87,21.56908895,0.0468975
88,21.87113857,0.02713875
89,22.03785427,0.03097875
90,22.08492694,0.050714
91,22.02412474,0.04321025
92,21.9456703,0.0633465
93,21.88879082,0.05209475
94,21.88290674,0.03830375
95,21.8593704,0.03620925
96,21.77895459,0.054253
97,21.59066392,0.0522585
98,21.26703933,0.0414395
99,20.83553986,0.04172
100,20.49426302,0.02822825
101,20.38246543,0.0363515
102,20.58840836,0.025474
103,21.14543493,0.03480225
104,22.04962244,0.0369785
105,23.20094145,0.037317
106,24.45817397,0.03212575
107,25.69383152,0.03727025
108,26.78238698,0.02983875
109,27.61204276,0.05204225
110,28.06511719,0.07349075
111,28.10042169,0.04959475
112,27.79837207,0.06079
113,27.26684319,0.04898725
114,26.61370991,0.072945
115,25.98607434,0.0860375
116,25.60949299,0.091697
117,25.49573404,0.03985725
118,25.59772482,0.0460655
119,25.91742669,0.033159
120,26.3567716,0.0377835
121,26.79415514,0.103027
122,27.20015691,0.09837975
123,27.63754045,0.12532825
124,28.06903991,0.06578675
125,28.51230754,0.085444
126,28.89673433,0.18511325
127,29.15367265,0.08989125
128,29.1458272,0.08516475
129,28.74767088,0.213591
130,27.93370599,0.280975
131,26.79415514,0.1475525
132,25.47415907,0.13360775
133,24.13651074,0.085416
134,23.04795528,0.10596725
135,22.36932431,0.099878
136,22.08884966,0.06376075
137,22.19084044,0.04709525
138,22.58507404,0.05044325
139,23.13621653,0.04837325
140,23.74227714,0.066955
141,24.40521722,0.09398375
142,25.07600275,0.0906035
143,25.82524272,0.051521
144,26.65097578,0.0612215
145,27.49632245,0.094853
146,28.19848975,0.11933475
147,28.6809846,0.1247405
148,28.82808669,0.107684
149,28.64371874,0.11246
150,28.19456703,0.08986375
151,27.63754045,0.030534
152,27.09228204,0.030965
153,26.65097578,0.0363715
154,26.34108071,0.03280975
155,26.19593998,0.0292455
156,26.21163087,0.02270525
157,26.41168971,0.0379945
158,26.760812,0.050782
159,27.2158478,0.04003725
160,27.73953123,0.02696425
161,28.25340787,0.038946
162,28.65940963,0.0450745
163,28.97518878,0.048792
164,29.14974993,0.03664025
165,29.12817495,0.04004125
166,28.91830931,0.0616105
167,28.49465529,0.05678075
168,27.87682652,0.05516425
169,27.10601157,0.04453675
170,26.23516721,0.03235975
171,25.38197509,0.03720425
172,24.71511229,0.029513
173,24.24830833,0.023254
174,24.09728351,0.04228225
175,24.28557419,0.03168525
176,24.7955281,0.040811
177,25.47415907,0.04324925
178,26.26458762,0.03295525
179,27.00794351,0.02474225
180,27.61792684,0.025288
181,27.95135824,0.03133175
182,28.01019908,0.0196315
183,27.75326076,0.0355295
184,27.30018633,0.03752525
185,26.77650289,0.04226725
186,26.32735118,0.0271165
187,26.0233402,0.025851
188,25.97234481,0.02748475
189,26.17240365,0.03430025
190,26.55094636,0.041244
191,27.08247524,0.045365
192,27.72187898,0.0235555
193,28.44169854,0.022705
194,29.14974993,0.0456495
195,29.77542414,0.03381875
196,30.23438266,0.03799325
